Condition,Frequency,Block,TimingFile,TaskObject1,TaskObject2,TaskObject3,Position
254,1,2,FAC2_touch_v0,200,"pic(big03x1.4_10,10,0)","pic(s03_128_10,-10,0)",right
255,1,2,FAC2_touch_v0,200,"pic(big04x1.4_14,10,0)","pic(s04_128_09,-10,0)",right
256,1,2,FAC2_touch_v0,200,"pic(big02x1.4_15,-10,0)","pic(s02_128_14,10,0)",left
257,1,3,FAC2_touch_v0,200,"pic(big02x1.3_02,-10,0)","pic(s02_128_16,10,0)",left
258,1,3,FAC2_touch_v0,200,"pic(big01x1.3_09,10,0)","pic(s01_128_09,-10,0)",right
259,1,3,FAC2_touch_v0,200,"pic(big03x1.3_09,10,0)","pic(s03_128_16,-10,0)",right
260,1,3,FAC2_touch_v0,200,"pic(big04x1.3_10,-10,0)","pic(s04_128_11,10,0)",left
261,1,3,FAC2_touch_v0,200,"pic(big03x1.3_11,10,0)","pic(s03_128_02,-10,0)",right
262,1,3,FAC2_touch_v0,200,"pic(big01x1.3_11,-10,0)","pic(s01_128_07,10,0)",left
263,1,3,FAC2_touch_v0,200,"pic(big02x1.3_06,10,0)","pic(s02_128_03,-10,0)",right
264,1,3,FAC2_touch_v0,200,"pic(big04x1.3_06,10,0)","pic(s04_128_06,-10,0)",right
265,1,3,FAC2_touch_v0,200,"pic(big04x1.3_13,10,0)","pic(s04_128_05,-10,0)",right
266,1,3,FAC2_touch_v0,200,"pic(big02x1.3_07,10,0)","pic(s02_128_11,-10,0)",right
267,1,3,FAC2_touch_v0,200,"pic(big01x1.3_06,-10,0)","pic(s01_128_08,10,0)",left
268,1,3,FAC2_touch_v0,200,"pic(big03x1.3_02,10,0)","pic(s03_128_01,-10,0)",right
269,1,3,FAC2_touch_v0,200,"pic(big03x1.3_03,-10,0)","pic(s03_128_11,10,0)",left
270,1,3,FAC2_touch_v0,200,"pic(big02x1.3_14,-10,0)","pic(s02_128_13,10,0)",left
271,1,3,FAC2_touch_v0,200,"pic(big01x1.3_05,10,0)","pic(s01_128_06,-10,0)",right
272,1,3,FAC2_touch_v0,200,"pic(big04x1.3_03,-10,0)","pic(s04_128_12,10,0)",left
273,1,3,FAC2_touch_v0,200,"pic(big04x1.3_08,-10,0)","pic(s04_128_08,10,0)",left
274,1,3,FAC2_touch_v0,200,"pic(big01x1.3_13,10,0)","pic(s01_128_14,-10,0)",right
275,1,3,FAC2_touch_v0,200,"pic(big02x1.3_08,-10,0)","pic(s02_128_10,10,0)",left
276,1,3,FAC2_touch_v0,200,"pic(big03x1.3_05,-10,0)","pic(s03_128_16,10,0)",left
277,1,3,FAC2_touch_v0,200,"pic(big02x1.3_16,10,0)","pic(s02_128_04,-10,0)",right
278,1,3,FAC2_touch_v0,200,"pic(big01x1.3_04,10,0)","pic(s01_128_12,-10,0)",right
279,1,3,FAC2_touch_v0,200,"pic(big04x1.3_03,10,0)","pic(s04_128_14,-10,0)",right
280,1,3,FAC2_touch_v0,200,"pic(big03x1.3_07,-10,0)","pic(s03_128_09,10,0)",left
281,1,3,FAC2_touch_v0,200,"pic(big03x1.3_14,-10,0)","pic(s03_128_14,10,0)",left
282,1,3,FAC2_touch_v0,200,"pic(big01x1.3_04,-10,0)","pic(s01_128_02,10,0)",left
283,1,3,FAC2_touch_v0,200,"pic(big02x1.3_03,10,0)","pic(s02_128_07,-10,0)",right
284,1,3,FAC2_touch_v0,200,"pic(big04x1.3_07,10,0)","pic(s04_128_04,-10,0)",right
285,1,3,FAC2_touch_v0,200,"pic(big03x1.3_15,10,0)","pic(s03_128_07,-10,0)",right
286,1,3,FAC2_touch_v0,200,"pic(big02x1.3_11,10,0)","pic(s02_128_08,-10,0)",right
287,1,3,FAC2_touch_v0,200,"pic(big04x1.3_06,-10,0)","pic(s04_128_09,10,0)",left
288,1,3,FAC2_touch_v0,200,"pic(big01x1.3_14,10,0)","pic(s01_128_10,-10,0)",right
289,1,3,FAC2_touch_v0,200,"pic(big02x1.3_10,-10,0)","pic(s02_128_03,10,0)",left
290,1,3,FAC2_touch_v0,200,"pic(big03x1.3_04,-10,0)","pic(s03_128_07,10,0)",left
291,1,3,FAC2_touch_v0,200,"pic(big01x1.3_07,10,0)","pic(s01_128_08,-10,0)",right
292,1,3,FAC2_touch_v0,200,"pic(big04x1.3_10,10,0)","pic(s04_128_15,-10,0)",right
293,1,3,FAC2_touch_v0,200,"pic(big04x1.3_12,-10,0)","pic(s04_128_16,10,0)",left
294,1,3,FAC2_touch_v0,200,"pic(big02x1.3_13,-10,0)","pic(s02_128_07,10,0)",left
295,1,3,FAC2_touch_v0,200,"pic(big01x1.3_09,10,0)","pic(s01_128_01,-10,0)",right
296,1,3,FAC2_touch_v0,200,"pic(big03x1.3_08,-10,0)","pic(s03_128_08,10,0)",left
297,1,3,FAC2_touch_v0,200,"pic(big04x1.3_04,-10,0)","pic(s04_128_07,10,0)",left
298,1,3,FAC2_touch_v0,200,"pic(big03x1.3_13,-10,0)","pic(s03_128_05,10,0)",left
299,1,3,FAC2_touch_v0,200,"pic(big02x1.3_02,10,0)","pic(s02_128_01,-10,0)",right
300,1,3,FAC2_touch_v0,200,"pic(big01x1.3_15,-10,0)","pic(s01_128_12,10,0)",left
301,1,3,FAC2_touch_v0,200,"pic(big02x1.3_13,10,0)","pic(s02_128_09,-10,0)",right
302,1,3,FAC2_touch_v0,200,"pic(big01x1.3_01,-10,0)","pic(s01_128_04,10,0)",left
303,1,3,FAC2_touch_v0,200,"pic(big04x1.3_14,-10,0)","pic(s04_128_10,10,0)",left
304,1,3,FAC2_touch_v0,200,"pic(big03x1.3_13,10,0)","pic(s03_128_10,-10,0)",right
305,1,3,FAC2_touch_v0,200,"pic(big04x1.3_07,-10,0)","pic(s04_128_14,10,0)",left
306,1,3,FAC2_touch_v0,200,"pic(big01x1.3_16,10,0)","pic(s01_128_11,-10,0)",right
307,1,3,FAC2_touch_v0,200,"pic(big03x1.3_16,-10,0)","pic(s03_128_01,10,0)",left
308,1,3,FAC2_touch_v0,200,"pic(big02x1.3_09,10,0)","pic(s02_128_06,-10,0)",right
309,1,3,FAC2_touch_v0,200,"pic(big01x1.3_08,-10,0)","pic(s01_128_11,10,0)",left
310,1,3,FAC2_touch_v0,200,"pic(big04x1.3_15,-10,0)","pic(s04_128_06,10,0)",left
311,1,3,FAC2_touch_v0,200,"pic(big03x1.3_06,10,0)","pic(s03_128_11,-10,0)",right
312,1,3,FAC2_touch_v0,200,"pic(big02x1.3_05,10,0)","pic(s02_128_05,-10,0)",right
313,1,3,FAC2_touch_v0,200,"pic(big01x1.3_14,-10,0)","pic(s01_128_13,10,0)",left
314,1,3,FAC2_touch_v0,200,"pic(big03x1.3_12,-10,0)","pic(s03_128_12,10,0)",left
315,1,3,FAC2_touch_v0,200,"pic(big02x1.3_16,-10,0)","pic(s02_128_04,10,0)",left
316,1,3,FAC2_touch_v0,200,"pic(big04x1.3_11,10,0)","pic(s04_128_10,-10,0)",right
317,1,3,FAC2_touch_v0,200,"pic(big04x1.3_16,10,0)","pic(s04_128_02,-10,0)",right
318,1,3,FAC2_touch_v0,200,"pic(big03x1.3_03,10,0)","pic(s03_128_08,-10,0)",right
319,1,3,FAC2_touch_v0,200,"pic(big02x1.3_08,10,0)","pic(s02_128_15,-10,0)",right
320,1,3,FAC2_touch_v0,200,"pic(big01x1.3_05,-10,0)","pic(s01_128_10,10,0)",left
321,1,3,FAC2_touch_v0,200,"pic(big04x1.3_16,-10,0)","pic(s04_128_05,10,0)",left
322,1,3,FAC2_touch_v0,200,"pic(big03x1.3_15,-10,0)","pic(s03_128_15,10,0)",left
323,1,3,FAC2_touch_v0,200,"pic(big02x1.3_15,10,0)","pic(s02_128_12,-10,0)",right
324,1,3,FAC2_touch_v0,200,"pic(big01x1.3_07,-10,0)","pic(s01_128_15,10,0)",left
325,1,3,FAC2_touch_v0,200,"pic(big03x1.3_07,10,0)","pic(s03_128_03,-10,0)",right
326,1,3,FAC2_touch_v0,200,"pic(big04x1.3_05,-10,0)","pic(s04_128_02,10,0)",left
327,1,3,FAC2_touch_v0,200,"pic(big01x1.3_02,10,0)","pic(s01_128_16,-10,0)",right
328,1,3,FAC2_touch_v0,200,"pic(big02x1.3_04,-10,0)","pic(s02_128_09,10,0)",left
329,1,3,FAC2_touch_v0,200,"pic(big04x1.3_11,-10,0)","pic(s04_128_01,10,0)",left
330,1,3,FAC2_touch_v0,200,"pic(big01x1.3_01,10,0)","pic(s01_128_13,-10,0)",right
331,1,3,FAC2_touch_v0,200,"pic(big03x1.3_16,10,0)","pic(s03_128_05,-10,0)",right
332,1,3,FAC2_touch_v0,200,"pic(big02x1.3_14,10,0)","pic(s02_128_16,-10,0)",right
333,1,3,FAC2_touch_v0,200,"pic(big01x1.3_03,-10,0)","pic(s01_128_06,10,0)",left
334,1,3,FAC2_touch_v0,200,"pic(big03x1.3_05,10,0)","pic(s03_128_15,-10,0)",right
335,1,3,FAC2_touch_v0,200,"pic(big04x1.3_02,-10,0)","pic(s04_128_03,10,0)",left
336,1,3,FAC2_touch_v0,200,"pic(big02x1.3_05,-10,0)","pic(s02_128_05,10,0)",left
337,1,3,FAC2_touch_v0,200,"pic(big04x1.3_12,10,0)","pic(s04_128_12,-10,0)",right
338,1,3,FAC2_touch_v0,200,"pic(big01x1.3_12,-10,0)","pic(s01_128_09,10,0)",left
339,1,3,FAC2_touch_v0,200,"pic(big03x1.3_08,10,0)","pic(s03_128_12,-10,0)",right
340,1,3,FAC2_touch_v0,200,"pic(big02x1.3_15,-10,0)","pic(s02_128_12,10,0)",left
341,1,3,FAC2_touch_v0,200,"pic(big03x1.3_09,-10,0)","pic(s03_128_10,10,0)",left
342,1,3,FAC2_touch_v0,200,"pic(big02x1.3_03,-10,0)","pic(s02_128_14,10,0)",left
343,1,3,FAC2_touch_v0,200,"pic(big01x1.3_13,10,0)","pic(s01_128_05,-10,0)",right
344,1,3,FAC2_touch_v0,200,"pic(big04x1.3_15,10,0)","pic(s04_128_08,-10,0)",right
345,1,3,FAC2_touch_v0,200,"pic(big03x1.3_12,10,0)","pic(s03_128_06,-10,0)",right
346,1,3,FAC2_touch_v0,200,"pic(big04x1.3_02,-10,0)","pic(s04_128_07,10,0)",left
347,1,3,FAC2_touch_v0,200,"pic(big02x1.3_01,10,0)","pic(s02_128_10,-10,0)",right
348,1,3,FAC2_touch_v0,200,"pic(big01x1.3_08,10,0)","pic(s01_128_01,-10,0)",right
349,1,3,FAC2_touch_v0,200,"pic(big04x1.3_14,10,0)","pic(s04_128_03,-10,0)",right
350,1,3,FAC2_touch_v0,200,"pic(big02x1.3_12,-10,0)","pic(s02_128_02,10,0)",left
351,1,3,FAC2_touch_v0,200,"pic(big01x1.3_12,10,0)","pic(s01_128_03,-10,0)",right
352,1,3,FAC2_touch_v0,200,"pic(big03x1.3_11,-10,0)","pic(s03_128_02,10,0)",left
353,1,3,FAC2_touch_v0,200,"pic(big04x1.3_04,10,0)","pic(s04_128_09,-10,0)",right
354,1,3,FAC2_touch_v0,200,"pic(big01x1.3_06,10,0)","pic(s01_128_14,-10,0)",right
355,1,3,FAC2_touch_v0,200,"pic(big02x1.3_04,-10,0)","pic(s02_128_14,10,0)",left
356,1,3,FAC2_touch_v0,200,"pic(big03x1.3_04,10,0)","pic(s03_128_14,-10,0)",right
357,1,3,FAC2_touch_v0,200,"pic(big02x1.3_10,10,0)","pic(s02_128_13,-10,0)",right
358,1,3,FAC2_touch_v0,200,"pic(big03x1.3_02,-10,0)","pic(s03_128_06,10,0)",left
359,1,3,FAC2_touch_v0,200,"pic(big04x1.3_01,10,0)","pic(s04_128_01,-10,0)",right
360,1,3,FAC2_touch_v0,200,"pic(big01x1.3_10,10,0)","pic(s01_128_07,-10,0)",right
361,1,3,FAC2_touch_v0,200,"pic(big01x1.3_02,-10,0)","pic(s01_128_05,10,0)",left
362,1,3,FAC2_touch_v0,200,"pic(big03x1.3_06,-10,0)","pic(s03_128_03,10,0)",left
363,1,3,FAC2_touch_v0,200,"pic(big04x1.3_08,10,0)","pic(s04_128_11,-10,0)",right
364,1,3,FAC2_touch_v0,200,"pic(big02x1.3_12,-10,0)","pic(s02_128_01,10,0)",left
365,1,3,FAC2_touch_v0,200,"pic(big04x1.3_13,-10,0)","pic(s04_128_15,10,0)",left
366,1,3,FAC2_touch_v0,200,"pic(big01x1.3_11,10,0)","pic(s01_128_15,-10,0)",right
367,1,3,FAC2_touch_v0,200,"pic(big03x1.3_01,10,0)","pic(s03_128_09,-10,0)",right
368,1,3,FAC2_touch_v0,200,"pic(big02x1.3_06,-10,0)","pic(s02_128_02,10,0)",left
369,1,3,FAC2_touch_v0,200,"pic(big04x1.3_05,10,0)","pic(s04_128_16,-10,0)",right
370,1,3,FAC2_touch_v0,200,"pic(big03x1.3_10,-10,0)","pic(s03_128_13,10,0)",left
371,1,3,FAC2_touch_v0,200,"pic(big01x1.3_03,10,0)","pic(s01_128_02,-10,0)",right
372,1,3,FAC2_touch_v0,200,"pic(big02x1.3_11,-10,0)","pic(s02_128_15,10,0)",left
373,1,3,FAC2_touch_v0,200,"pic(big02x1.3_09,-10,0)","pic(s02_128_08,10,0)",left
374,1,3,FAC2_touch_v0,200,"pic(big04x1.3_09,10,0)","pic(s04_128_13,-10,0)",right
375,1,3,FAC2_touch_v0,200,"pic(big01x1.3_16,-10,0)","pic(s01_128_16,10,0)",left
376,1,3,FAC2_touch_v0,200,"pic(big03x1.3_14,10,0)","pic(s03_128_13,-10,0)",right
377,1,3,FAC2_touch_v0,200,"pic(big02x1.3_07,-10,0)","pic(s02_128_06,10,0)",left
378,1,3,FAC2_touch_v0,200,"pic(big01x1.3_15,10,0)","pic(s01_128_04,-10,0)",right
379,1,3,FAC2_touch_v0,200,"pic(big03x1.3_01,-10,0)","pic(s03_128_04,10,0)",left
380,1,3,FAC2_touch_v0,200,"pic(big04x1.3_09,-10,0)","pic(s04_128_04,10,0)",left
381,1,3,FAC2_touch_v0,200,"pic(big02x1.3_01,-10,0)","pic(s02_128_11,10,0)",left
382,1,3,FAC2_touch_v0,200,"pic(big01x1.3_10,-10,0)","pic(s01_128_03,10,0)",left
383,1,3,FAC2_touch_v0,200,"pic(big03x1.3_10,10,0)","pic(s03_128_04,-10,0)",right
384,1,3,FAC2_touch_v0,200,"pic(big04x1.3_01,-10,0)","pic(s04_128_13,10,0)",left
385,1,4,FAC2_touch_v0,200,"pic(big01x1.2_08,10,0)","pic(s01_128_10,-10,0)",right
386,1,4,FAC2_touch_v0,200,"pic(big02x1.2_02,10,0)","pic(s02_128_10,-10,0)",right
387,1,4,FAC2_touch_v0,200,"pic(big04x1.2_12,10,0)","pic(s04_128_09,-10,0)",right
388,1,4,FAC2_touch_v0,200,"pic(big03x1.2_03,10,0)","pic(s03_128_14,-10,0)",right
389,1,4,FAC2_touch_v0,200,"pic(big01x1.2_01,-10,0)","pic(s01_128_09,10,0)",left
390,1,4,FAC2_touch_v0,200,"pic(big02x1.2_08,-10,0)","pic(s02_128_09,10,0)",left
391,1,4,FAC2_touch_v0,200,"pic(big03x1.2_15,10,0)","pic(s03_128_13,-10,0)",right
392,1,4,FAC2_touch_v0,200,"pic(big04x1.2_15,-10,0)","pic(s04_128_01,10,0)",left
393,1,4,FAC2_touch_v0,200,"pic(big02x1.2_07,-10,0)","pic(s02_128_13,10,0)",left
394,1,4,FAC2_touch_v0,200,"pic(big04x1.2_05,-10,0)","pic(s04_128_04,10,0)",left
395,1,4,FAC2_touch_v0,200,"pic(big03x1.2_11,10,0)","pic(s03_128_07,-10,0)",right
396,1,4,FAC2_touch_v0,200,"pic(big01x1.2_07,-10,0)","pic(s01_128_06,10,0)",left
397,1,4,FAC2_touch_v0,200,"pic(big04x1.2_08,10,0)","pic(s04_128_01,-10,0)",right
398,1,4,FAC2_touch_v0,200,"pic(big01x1.2_09,-10,0)","pic(s01_128_03,10,0)",left
399,1,4,FAC2_touch_v0,200,"pic(big03x1.2_12,10,0)","pic(s03_128_11,-10,0)",right
400,1,4,FAC2_touch_v0,200,"pic(big02x1.2_16,10,0)","pic(s02_128_14,-10,0)",right
401,1,4,FAC2_touch_v0,200,"pic(big03x1.2_09,-10,0)","pic(s03_128_01,10,0)",left
402,1,4,FAC2_touch_v0,200,"pic(big04x1.2_06,10,0)","pic(s04_128_13,-10,0)",right
403,1,4,FAC2_touch_v0,200,"pic(big02x1.2_05,10,0)","pic(s02_128_06,-10,0)",right
404,1,4,FAC2_touch_v0,200,"pic(big01x1.2_04,-10,0)","pic(s01_128_13,10,0)",left
405,1,4,FAC2_touch_v0,200,"pic(big03x1.2_14,-10,0)","pic(s03_128_09,10,0)",left
406,1,4,FAC2_touch_v0,200,"pic(big04x1.2_16,10,0)","pic(s04_128_16,-10,0)",right
407,1,4,FAC2_touch_v0,200,"pic(big02x1.2_04,10,0)","pic(s02_128_03,-10,0)",right
408,1,4,FAC2_touch_v0,200,"pic(big01x1.2_06,-10,0)","pic(s01_128_14,10,0)",left
409,1,4,FAC2_touch_v0,200,"pic(big02x1.2_12,10,0)","pic(s02_128_01,-10,0)",right
410,1,4,FAC2_touch_v0,200,"pic(big04x1.2_10,10,0)","pic(s04_128_12,-10,0)",right
411,1,4,FAC2_touch_v0,200,"pic(big01x1.2_02,10,0)","pic(s01_128_13,-10,0)",right
412,1,4,FAC2_touch_v0,200,"pic(big03x1.2_13,10,0)","pic(s03_128_09,-10,0)",right
413,1,4,FAC2_touch_v0,200,"pic(big02x1.2_09,-10,0)","pic(s02_128_05,10,0)",left
414,1,4,FAC2_touch_v0,200,"pic(big03x1.2_01,10,0)","pic(s03_128_05,-10,0)",right
415,1,4,FAC2_touch_v0,200,"pic(big04x1.2_07,10,0)","pic(s04_128_11,-10,0)",right
416,1,4,FAC2_touch_v0,200,"pic(big01x1.2_09,-10,0)","pic(s01_128_15,10,0)",left
417,1,4,FAC2_touch_v0,200,"pic(big03x1.2_04,10,0)","pic(s03_128_04,-10,0)",right
418,1,4,FAC2_touch_v0,200,"pic(big04x1.2_11,10,0)","pic(s04_128_10,-10,0)",right
419,1,4,FAC2_touch_v0,200,"pic(big01x1.2_05,-10,0)","pic(s01_128_07,10,0)",left
420,1,4,FAC2_touch_v0,200,"pic(big02x1.2_07,10,0)","pic(s02_128_12,-10,0)",right
421,1,4,FAC2_touch_v0,200,"pic(big02x1.2_06,-10,0)","pic(s02_128_16,10,0)",left
422,1,4,FAC2_touch_v0,200,"pic(big01x1.2_14,-10,0)","pic(s01_128_12,10,0)",left
423,1,4,FAC2_touch_v0,200,"pic(big04x1.2_05,10,0)","pic(s04_128_08,-10,0)",right
424,1,4,FAC2_touch_v0,200,"pic(big03x1.2_02,-10,0)","pic(s03_128_10,10,0)",left
425,1,4,FAC2_touch_v0,200,"pic(big01x1.2_13,10,0)","pic(s01_128_16,-10,0)",right
426,1,4,FAC2_touch_v0,200,"pic(big04x1.2_12,-10,0)","pic(s04_128_12,10,0)",left
427,1,4,FAC2_touch_v0,200,"pic(big03x1.2_06,-10,0)","pic(s03_128_06,10,0)",left
428,1,4,FAC2_touch_v0,200,"pic(big02x1.2_14,-10,0)","pic(s02_128_12,10,0)",left
429,1,4,FAC2_touch_v0,200,"pic(big03x1.2_10,10,0)","pic(s03_128_15,-10,0)",right
430,1,4,FAC2_touch_v0,200,"pic(big01x1.2_16,10,0)","pic(s01_128_06,-10,0)",right
431,1,4,FAC2_touch_v0,200,"pic(big02x1.2_09,10,0)","pic(s02_128_02,-10,0)",right
432,1,4,FAC2_touch_v0,200,"pic(big04x1.2_01,-10,0)","pic(s04_128_13,10,0)",left
433,1,4,FAC2_touch_v0,200,"pic(big02x1.2_16,-10,0)","pic(s02_128_11,10,0)",left
434,1,4,FAC2_touch_v0,200,"pic(big03x1.2_14,10,0)","pic(s03_128_08,-10,0)",right
435,1,4,FAC2_touch_v0,200,"pic(big04x1.2_16,-10,0)","pic(s04_128_07,10,0)",left
436,1,4,FAC2_touch_v0,200,"pic(big01x1.2_12,10,0)","pic(s01_128_05,-10,0)",right
437,1,4,FAC2_touch_v0,200,"pic(big03x1.2_12,-10,0)","pic(s03_128_14,10,0)",left
438,1,4,FAC2_touch_v0,200,"pic(big02x1.2_10,-10,0)","pic(s02_128_06,10,0)",left
439,1,4,FAC2_touch_v0,200,"pic(big04x1.2_03,10,0)","pic(s04_128_04,-10,0)",right
440,1,4,FAC2_touch_v0,200,"pic(big01x1.2_07,10,0)","pic(s01_128_04,-10,0)",right
441,1,4,FAC2_touch_v0,200,"pic(big02x1.2_13,-10,0)","pic(s02_128_07,10,0)",left
442,1,4,FAC2_touch_v0,200,"pic(big03x1.2_05,10,0)","pic(s03_128_01,-10,0)",right
443,1,4,FAC2_touch_v0,200,"pic(big01x1.2_15,-10,0)","pic(s01_128_01,10,0)",left
444,1,4,FAC2_touch_v0,200,"pic(big04x1.2_04,10,0)","pic(s04_128_03,-10,0)",right
445,1,4,FAC2_touch_v0,200,"pic(big03x1.2_08,10,0)","pic(s03_128_02,-10,0)",right
446,1,4,FAC2_touch_v0,200,"pic(big01x1.2_16,-10,0)","pic(s01_128_10,10,0)",left
447,1,4,FAC2_touch_v0,200,"pic(big04x1.2_07,-10,0)","pic(s04_128_03,10,0)",left
448,1,4,FAC2_touch_v0,200,"pic(big02x1.2_10,10,0)","pic(s02_128_05,-10,0)",right
449,1,4,FAC2_touch_v0,200,"pic(big01x1.2_08,-10,0)","pic(s01_128_16,10,0)",left
450,1,4,FAC2_touch_v0,200,"pic(big04x1.2_06,-10,0)","pic(s04_128_16,10,0)",left
451,1,4,FAC2_touch_v0,200,"pic(big02x1.2_15,-10,0)","pic(s02_128_04,10,0)",left
452,1,4,FAC2_touch_v0,200,"pic(big03x1.2_07,10,0)","pic(s03_128_12,-10,0)",right
453,1,4,FAC2_touch_v0,200,"pic(big03x1.2_10,-10,0)","pic(s03_128_12,10,0)",left
454,1,4,FAC2_touch_v0,200,"pic(big02x1.2_11,-10,0)","pic(s02_128_08,10,0)",left
455,1,4,FAC2_touch_v0,200,"pic(big04x1.2_14,-10,0)","pic(s04_128_08,10,0)",left
456,1,4,FAC2_touch_v0,200,"pic(big01x1.2_06,10,0)","pic(s01_128_01,-10,0)",right
457,1,4,FAC2_touch_v0,200,"pic(big02x1.2_05,-10,0)","pic(s02_128_01,10,0)",left
458,1,4,FAC2_touch_v0,200,"pic(big01x1.2_12,-10,0)","pic(s01_128_08,10,0)",left
459,1,4,FAC2_touch_v0,200,"pic(big04x1.2_14,10,0)","pic(s04_128_14,-10,0)",right
460,1,4,FAC2_touch_v0,200,"pic(big03x1.2_15,10,0)","pic(s03_128_06,-10,0)",right
461,1,4,FAC2_touch_v0,200,"pic(big02x1.2_02,-10,0)","pic(s02_128_15,10,0)",left
462,1,4,FAC2_touch_v0,200,"pic(big01x1.2_15,10,0)","pic(s01_128_11,-10,0)",right
463,1,4,FAC2_touch_v0,200,"pic(big03x1.2_01,-10,0)","pic(s03_128_07,10,0)",left
464,1,4,FAC2_touch_v0,200,"pic(big04x1.2_15,10,0)","pic(s04_128_05,-10,0)",right
465,1,4,FAC2_touch_v0,200,"pic(big03x1.2_16,10,0)","pic(s03_128_03,-10,0)",right
466,1,4,FAC2_touch_v0,200,"pic(big04x1.2_10,-10,0)","pic(s04_128_02,10,0)",left
467,1,4,FAC2_touch_v0,200,"pic(big01x1.2_11,-10,0)","pic(s01_128_02,10,0)",left
468,1,4,FAC2_touch_v0,200,"pic(big02x1.2_03,-10,0)","pic(s02_128_03,10,0)",left
469,1,4,FAC2_touch_v0,200,"pic(big03x1.2_07,-10,0)","pic(s03_128_11,10,0)",left
470,1,4,FAC2_touch_v0,200,"pic(big02x1.2_13,10,0)","pic(s02_128_04,-10,0)",right
471,1,4,FAC2_touch_v0,200,"pic(big01x1.2_05,10,0)","pic(s01_128_12,-10,0)",right
472,1,4,FAC2_touch_v0,200,"pic(big04x1.2_02,10,0)","pic(s04_128_02,-10,0)",right
473,1,4,FAC2_touch_v0,200,"pic(big02x1.2_04,-10,0)","pic(s02_128_10,10,0)",left
474,1,4,FAC2_touch_v0,200,"pic(big03x1.2_13,-10,0)","pic(s03_128_04,10,0)",left
475,1,4,FAC2_touch_v0,200,"pic(big01x1.2_10,10,0)","pic(s01_128_03,-10,0)",right
476,1,4,FAC2_touch_v0,200,"pic(big04x1.2_09,-10,0)","pic(s04_128_14,10,0)",left
477,1,4,FAC2_touch_v0,200,"pic(big01x1.2_01,10,0)","pic(s01_128_07,-10,0)",right
478,1,4,FAC2_touch_v0,200,"pic(big03x1.2_04,-10,0)","pic(s03_128_15,10,0)",left
479,1,4,FAC2_touch_v0,200,"pic(big04x1.2_13,10,0)","pic(s04_128_06,-10,0)",right
480,1,4,FAC2_touch_v0,200,"pic(big02x1.2_03,10,0)","pic(s02_128_15,-10,0)",right
481,1,4,FAC2_touch_v0,200,"pic(big03x1.2_09,10,0)","pic(s03_128_16,-10,0)",right
482,1,4,FAC2_touch_v0,200,"pic(big04x1.2_09,10,0)","pic(s04_128_07,-10,0)",right
483,1,4,FAC2_touch_v0,200,"pic(big01x1.2_13,-10,0)","pic(s01_128_05,10,0)",left
484,1,4,FAC2_touch_v0,200,"pic(big02x1.2_14,10,0)","pic(s02_128_08,-10,0)",right
485,1,4,FAC2_touch_v0,200,"pic(big02x1.2_08,10,0)","pic(s02_128_16,-10,0)",right
486,1,4,FAC2_touch_v0,200,"pic(big03x1.2_08,-10,0)","pic(s03_128_16,10,0)",left
487,1,4,FAC2_touch_v0,200,"pic(big04x1.2_10,10,0)","pic(s04_128_15,-10,0)",right
488,1,4,FAC2_touch_v0,200,"pic(big01x1.2_11,10,0)","pic(s01_128_08,-10,0)",right
489,1,4,FAC2_touch_v0,200,"pic(big02x1.2_06,10,0)","pic(s02_128_09,-10,0)",right
490,1,4,FAC2_touch_v0,200,"pic(big03x1.2_03,-10,0)","pic(s03_128_02,10,0)",left
491,1,4,FAC2_touch_v0,200,"pic(big04x1.2_04,-10,0)","pic(s04_128_06,10,0)",left
492,1,4,FAC2_touch_v0,200,"pic(big01x1.2_10,-10,0)","pic(s01_128_04,10,0)",left
493,1,4,FAC2_touch_v0,200,"pic(big02x1.2_11,10,0)","pic(s02_128_07,-10,0)",right
494,1,4,FAC2_touch_v0,200,"pic(big03x1.2_06,10,0)","pic(s03_128_10,-10,0)",right
495,1,4,FAC2_touch_v0,200,"pic(big04x1.2_02,-10,0)","pic(s04_128_11,10,0)",left
496,1,4,FAC2_touch_v0,200,"pic(big01x1.2_03,10,0)","pic(s01_128_14,-10,0)",right
497,1,4,FAC2_touch_v0,200,"pic(big03x1.2_11,-10,0)","pic(s03_128_05,10,0)",left
498,1,4,FAC2_touch_v0,200,"pic(big04x1.2_03,-10,0)","pic(s04_128_10,10,0)",left
499,1,4,FAC2_touch_v0,200,"pic(big02x1.2_01,10,0)","pic(s02_128_13,-10,0)",right
500,1,4,FAC2_touch_v0,200,"pic(big01x1.2_02,-10,0)","pic(s01_128_15,10,0)",left
501,1,4,FAC2_touch_v0,200,"pic(big03x1.2_16,-10,0)","pic(s03_128_08,10,0)",left
502,1,4,FAC2_touch_v0,200,"pic(big01x1.2_03,-10,0)","pic(s01_128_11,10,0)",left
503,1,4,FAC2_touch_v0,200,"pic(big02x1.2_15,10,0)","pic(s02_128_11,-10,0)",right
504,1,4,FAC2_touch_v0,200,"pic(big04x1.2_08,-10,0)","pic(s04_128_09,10,0)",left
505,1,4,FAC2_touch_v0,200,"pic(big03x1.2_05,-10,0)","pic(s03_128_03,10,0)",left
506,1,4,FAC2_touch_v0,200,"pic(big04x1.2_13,-10,0)","pic(s04_128_15,10,0)",left
